initial_museum_id,initial_museum_name,initial_museum_size,initial_museum_governance,initial_museum_accreditation,initial_museum_subject,initial_museum_town,initial_museum_region,initial_museum_postcode,super_event_id,super_event_date,super_event_reasons,event_id,event_stage_in_path,event_type,event_core_type,event_type_uncertainty,event_is_end_of_existence,event_is_change_of_ownership,event_is_change_of_custody,event_date,event_date_from,event_date_to,previous_event_id,sender_id,sender_name,sender_mm_id,sender_type,sender_core_type,sender_sector,recipient_id,recipient_name,recipient_mm_id,recipient_quantity,recipient_type,recipient_core_type,recipient_sector,recipient_size,recipient_governance,recipient_accreditation,recipient_subject,recipient_town,recipient_region,recipient_postcode,object_id,parent_object_id,object_size,object_quantity,object_status,object_types,object_description
mm.aim82NM.077,Museum Of Bookbinding,small,private,unaccredited,other,Bath,South West,BA1 1JW,cm200,2000,life events - death - death of owner,event1005,0,transferred,transferred,certain,False,True,True,2000,,,,museummm.aim82NM.077,Museum Of Bookbinding,mm.aim82NM.077,museum,museum,private,p16,Person16,,many,individual,individual,private,,,,,,,,cm200bookbinding-other,,some,,collection,['miscellaneous'],
mm.domus.NW149,"Museum Of Dentistry, University Of Liverpool",small,university,unaccredited,medicine & health: other,Liverpool,North West,L3 5PS,cm202,2009/2017,loss of premises - change of use - space repurposed,event1007,0,transferred,transferred,certain,False,True,True,2014?,,,,museummm.domus.NW149,"Museum Of Dentistry, University Of Liverpool",mm.domus.NW149,museum,museum,university,liverpool-uni-archives,Liverpool University Archives,,1,archive,library/archive,university,,,,,Liverpool,North West,L69 7WZ,cm202liverpool-dentistry-all,,all,,collection,['miscellaneous'],
mm.domus.NW149,"Museum Of Dentistry, University Of Liverpool",small,university,unaccredited,medicine & health: other,Liverpool,North West,L3 5PS,cm202,2009/2017,loss of premises - change of use - space repurposed,event1008,1,displayed,displayed,certain,False,False,False,2014?,,,event1007,liverpool-uni-archives,Liverpool University Archives,,archive,library/archive,university,,,,,,,,,,,,,,,cm202liverpool-dentistry-display,cm202liverpool-dentistry-all,few,,collection,['miscellaneous'],
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1010,0,stored,stored,?,False,False,False,2004,,,,museummm.wiki.222,Eastgate House,mm.wiki.222,museum,museum,public,,,,,,,,,,,,,,,cm203eastgate-dickens-misc,,some,,museum-stuff,"['physical model', 'mannequin', 'image']",
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1011,0,thrown-away,damaged/destroyed,?,True,False,False,2004?,,,,museummm.wiki.222,Eastgate House,mm.wiki.222,museum,museum,public,unknown_end of existence_1011,unknown end of existence 1011,,1,end of existence,end of existence,unknown,,,,,,,,cm203eastgate-dickens-misc-disposed,,some,,museum-stuff,"['physical model', 'mannequin', 'image']","pictures, models and mannequins not fit for reuse"
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1012,0,transferred,transferred,certain,False,True,True,2004,,,,museummm.wiki.222,Eastgate House,mm.wiki.222,museum,museum,public,guildhall-rochester,Guildhall Museum (Rochester),mm.domus.SE285,1,museum,museum,public,large,local authority,accredited,mixed: encyclopaedic,Rochester,South East,ME1 1PY,cm203eastgate-dickens-collection,,some,,collection,['miscellaneous'],Museum collection objects
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1013,1,stored-onsite,stored,certain,False,False,False,2004,,,event1012,guildhall-rochester,Guildhall Museum (Rochester),mm.domus.SE285,museum,museum,public,,,,,,,,,,,,,,,cm203eastgate-dickens-collection,,some,,collection,['miscellaneous'],Museum collection objects
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1014,1,transferred,transferred,certain,False,True,True,,,,event1010,museummm.wiki.222,Eastgate House,mm.wiki.222,museum,museum,public,medway-visitor-information-centre,Medway Visitor Information Centre,,1,visitor centre,civic organisation,public,,,,,Rochester,South East,ME1 1LX,cm203eastgate-dickens-misc-displayed,cm203eastgate-dickens-misc,few,3,museum-stuff,"['mannequin', 'image']",
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1015,2,displayed,displayed,certain,False,False,False,,,,event1014,medway-visitor-information-centre,Medway Visitor Information Centre,,visitor centre,civic organisation,public,,,,,,,,,,,,,,,cm203eastgate-dickens-misc-displayed,cm203eastgate-dickens-misc,few,3,museum-stuff,"['mannequin', 'image']",
mm.wiki.222,Eastgate House,small,local authority,unaccredited,personality: literary,Rochester,South East,ME1 1ER,cm203,2004,loss of premises - change of use,event1016,0,left-in-situ,left-in-situ,certain,False,False,False,,,,,museummm.wiki.222,Eastgate House,mm.wiki.222,museum,museum,public,,,,,,,,,,,,,,,cm203eastgate-dickens-mannequin,,few,1,museum-stuff,['mannequin'],
